-DOCSTART- -X- O
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
1 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
3 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
12 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

BETAMETASONA -X- _ B-ACTIVE_PRINCIPLE
FOSFATO -X- _ I-ACTIVE_PRINCIPLE
DISÓDICO -X- _ I-ACTIVE_PRINCIPLE
4 -X- _ B-FORMA_FARMA
MG/ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
ML -X- _ I-ADMIN
1 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAMUSCULAR -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
2 -X- _ I-DURATION
dias -X- _ I-DURATION

CLINDAMICINA -X- _ B-ACTIVE_PRINCIPLE
600 -X- _ B-FORMA_FARMA
MG/4 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
4 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
0,5 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAMUSCULAR -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
8 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

LEVOTIROXINA -X- _ B-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
MCG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
0,5 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
5 -X- _ I-DURATION
dias -X- _ I-DURATION

LORAZEPAM -X- _ B-ACTIVE_PRINCIPLE
2 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
7 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
2mg-2mg-3mg -X- _ O

CLONAZEPAM -X- _ B-ACTIVE_PRINCIPLE
2 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
1,25 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
1/4 -X- _ O
- -X- _ O
0 -X- _ O
- -X- _ O
1 -X- _ O

INSULINA -X- _ B-ACTIVE_PRINCIPLE
CRISTALINA -X- _ I-ACTIVE_PRINCIPLE
HUMANA -X- _ I-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
U.I./ML -X- _ I-FORMA_FARMA
SOLUCION -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
10 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
2 -X- _ B-ADMIN
UI -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
cuatro -X- _ B-PERIODICITY
veces -X- _ I-PERIODICITY
al -X- _ I-PERIODICITY
día -X- _ I-PERIODICITY

PARACETAMOL -X- _ B-ACTIVE_PRINCIPLE
120 -X- _ B-FORMA_FARMA
MG/5ML -X- _ I-FORMA_FARMA
JARABE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
60 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
500 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
8 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
4 -X- _ I-DURATION
dias -X- _ I-DURATION

LANATÓSIDO-C -X- _ B-ACTIVE_PRINCIPLE
0,4 -X- _ B-FORMA_FARMA
MG/2 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
2 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
ML -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
8 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

ERITROPOYETINA -X- _ B-ACTIVE_PRINCIPLE
4000 -X- _ B-FORMA_FARMA
UI/mL -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
4000 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
12 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

AMOXICILINA -X- _ B-ACTIVE_PRINCIPLE
400 -X- _ O
MG/5 -X- _ O
ML -X- _ O
+ -X- _ O
ACIDO -X- _ B-ACTIVE_PRINCIPLE
CLAVULANICO -X- _ I-ACTIVE_PRINCIPLE
57 -X- _ B-FORMA_FARMA
MG/5 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
POLVO -X- _ I-FORMA_FARMA
PARA -X- _ I-FORMA_FARMA
SUSPENSION -X- _ I-FORMA_FARMA
ORAL -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
35 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
5 -X- _ B-ADMIN
ML -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
8 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
10 -X- _ I-DURATION
dias -X- _ I-DURATION

CLONAZEPAM -X- _ B-ACTIVE_PRINCIPLE
0,5 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
0,25 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
0-0-0,25mg -X- _ O
vo -X- _ O

METOCLOPRAMIDA -X- _ B-ACTIVE_PRINCIPLE
10 -X- _ B-FORMA_FARMA
MG/2 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
2 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
5 -X- _ B-ADMIN
MG -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
dos -X- _ B-PERIODICITY
veces -X- _ I-PERIODICITY
al -X- _ I-PERIODICITY
día -X- _ I-PERIODICITY

ÁCIDO -X- _ B-ACTIVE_PRINCIPLE
VALPROICO -X- _ I-ACTIVE_PRINCIPLE
375 -X- _ B-FORMA_FARMA
MG/ML -X- _ I-FORMA_FARMA
(10 -X- _ I-FORMA_FARMA
mg/gota) -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
PARA -X- _ I-FORMA_FARMA
GOTAS -X- _ I-FORMA_FARMA
ORALES -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
25 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
100 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
12 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

AMITRIPTILINA -X- _ B-ACTIVE_PRINCIPLE
25 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
0,25 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
al -X- _ B-PERIODICITY
acostarse -X- _ I-PERIODICITY
durante -X- _ B-DURATION
30 -X- _ I-DURATION
dias -X- _ I-DURATION

MIDAZOLAM -X- _ B-ACTIVE_PRINCIPLE
15 -X- _ B-FORMA_FARMA
MG/3 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
3 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
2,5 -X- _ B-ADMIN
MG -X- _ I-ADMIN
SUBCUTÁNEA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
8 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

AMLODIPINO -X- _ B-ACTIVE_PRINCIPLE
10 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
Suministro -X- _ O
inmediato -X- _ O
primera -X- _ O
vez. -X- _ O
2 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
dosis -X- _ B-PERIODICITY
simple -X- _ I-PERIODICITY

MAGNESIO -X- _ B-ACTIVE_PRINCIPLE
SULFATO -X- _ I-ACTIVE_PRINCIPLE
25 -X- _ B-FORMA_FARMA
% -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
5 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
2 -X- _ B-ADMIN
G -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

PREDNISONA -X- _ B-ACTIVE_PRINCIPLE
20 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
20 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
durante -X- _ B-DURATION
4 -X- _ I-DURATION
dias -X- _ I-DURATION
20 -X- _ O
mg -X- _ O
día -X- _ O

CICLOFOSFAMIDA -X- _ B-ACTIVE_PRINCIPLE
1 -X- _ B-FORMA_FARMA
G -X- _ I-FORMA_FARMA
POLVO -X- _ I-FORMA_FARMA
LIOFILIZADO -X- _ I-FORMA_FARMA
PARA -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
750 -X- _ B-ADMIN
MG -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
dosis -X- _ B-PERIODICITY
simple -X- _ I-PERIODICITY

SERTRALINA -X- _ B-ACTIVE_PRINCIPLE
50 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
0,25 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
durante -X- _ B-DURATION
3 -X- _ I-DURATION
dias -X- _ I-DURATION

ARIPIPRAZOL -X- _ B-ACTIVE_PRINCIPLE
10 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
10 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
10 -X- _ O
mg -X- _ O
- -X- _ O
0 -X- _ O
- -X- _ O
0 -X- _ O

QUETIAPINA -X- _ B-ACTIVE_PRINCIPLE
25 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
25 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

FERROSO -X- _ B-ACTIVE_PRINCIPLE
SULFATO -X- _ I-ACTIVE_PRINCIPLE
HEPTAHIDRATO -X- _ I-ACTIVE_PRINCIPLE
200 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
1 -X- _ I-PERIODICITY
dias -X- _ I-PERIODICITY
durante -X- _ B-DURATION
6 -X- _ I-DURATION
dias -X- _ I-DURATION

SODIO -X- _ B-ACTIVE_PRINCIPLE
CLORURO -X- _ I-ACTIVE_PRINCIPLE
0,9 -X- _ B-FORMA_FARMA
% -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
UNIDAD -X- _ I-FORMA_FARMA
250 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
10 -X- _ B-ADMIN
ML -X- _ I-ADMIN
INTRAVASCULAR -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
1 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

METAMIZOL -X- _ B-ACTIVE_PRINCIPLE
SÓDICO -X- _ I-ACTIVE_PRINCIPLE
300 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
2 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

ENOXAPARINA -X- _ B-ACTIVE_PRINCIPLE
40 -X- _ B-FORMA_FARMA
MG/0,4 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
JERINGA -X- _ I-FORMA_FARMA
PRELLENADA -X- _ I-FORMA_FARMA
0,4 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
SOLUCIÓN -X- _ I-ADMIN
INYECTABLE -X- _ I-ADMIN
EN -X- _ O
JERINGA -X- _ O
PRECARGADA -X- _ O
SUBCUTÁNEA -X- _ O
diaria -X- _ B-PERIODICITY
durante -X- _ B-DURATION
8 -X- _ I-DURATION
dias -X- _ I-DURATION

LAMIVUDINA -X- _ B-ACTIVE_PRINCIPLE
150 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
+ -X- _ I-FORMA_FARMA
ZIDOVUDINA -X- _ I-FORMA_FARMA
300 -X- _ I-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
12 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
31 -X- _ I-DURATION
dias -X- _ I-DURATION

INSULINA -X- _ B-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
UI/ML -X- _ I-FORMA_FARMA
(ULTRARRAPIDA) -X- _ I-FORMA_FARMA
3ML -X- _ I-FORMA_FARMA
DISPOSITIVO -X- _ I-FORMA_FARMA
MULTIDOSIS -X- _ I-FORMA_FARMA
20 -X- _ I-FORMA_FARMA
UNIDAD -X- _ B-ADMIN
SUBCUTÁNEA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

METILDOPA -X- _ B-ACTIVE_PRINCIPLE
250 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY

FLUTICASONA -X- _ B-ACTIVE_PRINCIPLE
250 -X- _ O
MCG/DOSIS -X- _ O
+ -X- _ O
SALMETEROL -X- _ B-ACTIVE_PRINCIPLE
25 -X- _ B-FORMA_FARMA
MCG/DOSIS -X- _ I-FORMA_FARMA
INHALADOR -X- _ I-FORMA_FARMA
120 -X- _ I-FORMA_FARMA
DOSIS -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
FRASCO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY

CALCIO -X- _ B-ACTIVE_PRINCIPLE
GLUCONATO -X- _ I-ACTIVE_PRINCIPLE
10 -X- _ B-FORMA_FARMA
% -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
10 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
4 -X- _ B-ADMIN
ML -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
12 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

CARVEDILOL -X- _ B-ACTIVE_PRINCIPLE
6,25 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
4 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
12 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

GENTAMICINA -X- _ B-ACTIVE_PRINCIPLE
80 -X- _ B-FORMA_FARMA
MG/2 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
2 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
3 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
tres -X- _ B-PERIODICITY
veces -X- _ I-PERIODICITY
al -X- _ I-PERIODICITY
día -X- _ I-PERIODICITY

SODIO -X- _ B-ACTIVE_PRINCIPLE
BICARBONATO -X- _ I-ACTIVE_PRINCIPLE
8,4 -X- _ B-FORMA_FARMA
% -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
10 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
10 -X- _ B-ADMIN
ML -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
6 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

LIDOCAÍNA -X- _ B-ACTIVE_PRINCIPLE
2 -X- _ B-FORMA_FARMA
% -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
5 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
4 -X- _ I-FORMA_FARMA
UNIDAD -X- _ B-ADMIN
INTRAMUSCULAR -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY

VANCOMICINA -X- _ B-ACTIVE_PRINCIPLE
1 -X- _ B-FORMA_FARMA
G -X- _ I-FORMA_FARMA
POLVO -X- _ I-FORMA_FARMA
LIOFILIZADO -X- _ I-FORMA_FARMA
PARA -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
150 -X- _ B-ADMIN
MG -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
6 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

QUETIAPINA -X- _ B-ACTIVE_PRINCIPLE
25 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
1,5 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
durante -X- _ B-DURATION
30 -X- _ I-DURATION
dias -X- _ I-DURATION

FUROSEMIDA -X- _ B-ACTIVE_PRINCIPLE
40 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
20 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
12 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
1 -X- _ I-DURATION
dias -X- _ I-DURATION

FENOTEROL -X- _ B-ACTIVE_PRINCIPLE
BROMHIDRATO -X- _ I-ACTIVE_PRINCIPLE
50 -X- _ O
µg/dosis+IPATROPIO -X- _ B-ACTIVE_PRINCIPLE
BROMURO -X- _ I-ACTIVE_PRINCIPLE
20 -X- _ B-FORMA_FARMA
µg/dosis -X- _ I-FORMA_FARMA
solución -X- _ B-FORMA_FARMA
para -X- _ I-FORMA_FARMA
inhalación -X- _ I-FORMA_FARMA
en -X- _ I-FORMA_FARMA
envase -X- _ I-FORMA_FARMA
a -X- _ I-FORMA_FARMA
presión -X- _ I-FORMA_FARMA
2 -X- _ B-ADMIN
INHALACIÓN -X- _ I-ADMIN
INHALATORIA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
3 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

ETONOGESTREL -X- _ B-ACTIVE_PRINCIPLE
68 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
IMPLANTE -X- _ I-FORMA_FARMA
SUBCUTANEO -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
IMPLANTE -X- _ I-ADMIN
SUBCUTÁNEA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
1 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

CLONAZEPAM -X- _ B-ACTIVE_PRINCIPLE
0,5 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
0,5 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
8 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
0,25 -X- _ O
mg -X- _ O
- -X- _ O
0,25 -X- _ O
mg -X- _ O
- -X- _ O
0,25 -X- _ O
mg -X- _ O

ATORVASTATINA -X- _ B-ACTIVE_PRINCIPLE
20 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
4 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
RECUBIERTO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
14 -X- _ I-DURATION
dias -X- _ I-DURATION

TOPIRAMATO -X- _ B-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
100 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
50mg-0-50mg -X- _ O

AMOXICILINA -X- _ B-ACTIVE_PRINCIPLE
400 -X- _ O
MG/5 -X- _ O
ML -X- _ O
+ -X- _ O
ACIDO -X- _ B-ACTIVE_PRINCIPLE
CLAVULANICO -X- _ I-ACTIVE_PRINCIPLE
57 -X- _ B-FORMA_FARMA
MG/5 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
POLVO -X- _ I-FORMA_FARMA
PARA -X- _ I-FORMA_FARMA
SUSPENSION -X- _ I-FORMA_FARMA
ORAL -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
35 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
Suministro -X- _ O
inmediato -X- _ O
primera -X- _ O
vez. -X- _ O
1000 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
12 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
3 -X- _ I-DURATION
dias -X- _ I-DURATION

LACTULOSA -X- _ B-ACTIVE_PRINCIPLE
65% -X- _ B-FORMA_FARMA
JARABE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
200 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
7 -X- _ B-ADMIN
FRASCO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
tres -X- _ B-PERIODICITY
veces -X- _ I-PERIODICITY
al -X- _ I-PERIODICITY
día -X- _ I-PERIODICITY
durante -X- _ B-DURATION
15 -X- _ I-DURATION
dias -X- _ I-DURATION

FLUTICASONA -X- _ B-ACTIVE_PRINCIPLE
250 -X- _ O
MCG/DOSIS -X- _ O
+ -X- _ O
SALMETEROL -X- _ B-ACTIVE_PRINCIPLE
25 -X- _ B-FORMA_FARMA
MCG/DOSIS -X- _ I-FORMA_FARMA
INHALADOR -X- _ I-FORMA_FARMA
120 -X- _ I-FORMA_FARMA
DOSIS -X- _ I-FORMA_FARMA
2 -X- _ B-ADMIN
SUSPENSIÓN -X- _ I-ADMIN
PARA -X- _ I-ADMIN
INHALACIÓN -X- _ I-ADMIN
EN -X- _ O
ENVASE -X- _ O
A -X- _ O
PRESIÓN -X- _ O
INHALATORIA -X- _ O
cada -X- _ B-PERIODICITY
12 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
7 -X- _ I-DURATION
dias -X- _ I-DURATION

GLUCOSA -X- _ B-ACTIVE_PRINCIPLE
10 -X- _ B-FORMA_FARMA
% -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
UNIDAD -X- _ I-FORMA_FARMA
500 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
Suministro -X- _ O
inmediato -X- _ O
primera -X- _ O
vez. -X- _ O
1 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY

FLUCONAZOL -X- _ B-ACTIVE_PRINCIPLE
200 -X- _ B-FORMA_FARMA
MG/100 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
